iteration,time_step,uav_id,death_type,final_energy,neighbors_notified,replacement_needed
44,58,5,ENERGY_DEPLETION,0,0,Yes
44,61,2,ENERGY_DEPLETION,0,0,Yes
44,71,7,ENERGY_DEPLETION,0,0,Yes
45,38,6,STOCHASTIC_FAILURE,62377.41,7,Yes
45,38,6,ENERGY_DEPLETION,0,0,Yes
45,53,0,ENERGY_DEPLETION,0,0,Yes
45,53,3,ENERGY_DEPLETION,0,0,Yes
45,56,2,ENERGY_DEPLETION,0,0,Yes
45,56,4,ENERGY_DEPLETION,0,0,Yes
45,58,1,ENERGY_DEPLETION,0,0,Yes
45,64,5,ENERGY_DEPLETION,0,0,Yes
45,71,7,ENERGY_DEPLETION,0,0,Yes
46,42,5,STOCHASTIC_FAILURE,43917.0,3,Yes
46,42,5,ENERGY_DEPLETION,0,0,Yes
46,52,1,ENERGY_DEPLETION,0,0,Yes
46,54,3,ENERGY_DEPLETION,0,0,Yes
46,55,4,ENERGY_DEPLETION,0,0,Yes
46,56,0,ENERGY_DEPLETION,0,0,Yes
46,59,14,STOCHASTIC_FAILURE,105980.8,6,Yes
46,59,2,ENERGY_DEPLETION,0,3,Yes
46,59,14,ENERGY_DEPLETION,0,0,Yes
46,64,6,ENERGY_DEPLETION,0,0,Yes
46,70,7,ENERGY_DEPLETION,0,0,Yes
47,38,11,STOCHASTIC_FAILURE,119901.85,7,Yes
47,38,11,ENERGY_DEPLETION,0,0,Yes
47,52,3,ENERGY_DEPLETION,0,0,Yes
47,55,4,ENERGY_DEPLETION,0,0,Yes
47,56,0,ENERGY_DEPLETION,0,0,Yes
47,57,1,ENERGY_DEPLETION,0,0,Yes
47,59,2,ENERGY_DEPLETION,0,0,Yes
47,62,5,ENERGY_DEPLETION,0,0,Yes
47,65,6,ENERGY_DEPLETION,0,0,Yes
47,74,7,ENERGY_DEPLETION,0,9,Yes
48,26,1,STOCHASTIC_FAILURE,64353.5,8,Yes
48,26,1,ENERGY_DEPLETION,0,0,Yes
48,55,0,ENERGY_DEPLETION,0,0,Yes
48,55,3,ENERGY_DEPLETION,0,0,Yes
